dataset,n_points,dimension,true_clusters,method,pred_clusters,noise_points,ARI,NMI,V_measure,FMI,eps,min_samples,k_pbc_clusters
2D Double-Boundary,1500,2,2,DBSCAN,4,9,0.5613830212265828,0.7126458424846077,0.7126458424846077,0.7681046690331522,0.05,3,2
2D Double-Boundary,1500,2,2,PBC-DBSCAN,3,8,0.9866116463601846,0.9654240332002452,0.9654240332002451,0.9940189578440484,0.05,3,2
2D Double-Boundary,1500,2,2,K-PBC,2,0,1.0,1.0,1.0,1.0,0.05,3,2
2D Double-Boundary,1500,2,2,GPDBSCAN,3,8,0.9866116463601846,0.9654240332002452,0.9654240332002451,0.9940189578440484,0.05,3,2
2D Four-Boundary,1000,2,3,DBSCAN,5,37,0.5606446088861116,0.7042993734183278,0.7042993734183279,0.7048789858613118,0.05,5,3
2D Four-Boundary,1000,2,3,PBC-DBSCAN,3,34,0.9336171061561819,0.8789725506437053,0.8789725506437053,0.9571841402246619,0.05,5,3
2D Four-Boundary,1000,2,3,K-PBC,3,0,0.958035889592358,0.9182149312306842,0.9182149312306842,0.9731079523495022,0.05,5,3
2D Four-Boundary,1000,2,3,GPDBSCAN,3,34,0.9336171061561819,0.8789725506437053,0.8789725506437053,0.9571841402246619,0.05,5,3
2D Non-convex,6000,2,3,DBSCAN,14,0,0.5988855005598285,0.7535096744187985,0.7535096744187985,0.7328707489498812,0.035,3,3
2D Non-convex,6000,2,3,PBC-DBSCAN,11,0,0.9777778557910609,0.9497219371060838,0.9497219371060839,0.9857686408152362,0.035,3,3
2D Non-convex,6000,2,3,K-PBC,3,0,0.5706723417392854,0.5627665065001102,0.5627665065001103,0.7225922327316563,0.035,3,3
2D Non-convex,6000,2,3,GPDBSCAN,11,0,0.9777778557910609,0.9497219371060838,0.9497219371060839,0.9857686408152362,0.035,3,3
3D Periodic,3500,3,4,DBSCAN,7,19,0.6251967716212352,0.8087439612298196,0.8087439612298196,0.7290244412297938,0.08,5,4
3D Periodic,3500,3,4,PBC-DBSCAN,4,17,0.9926381412098229,0.9849275525792411,0.9849275525792411,0.9945925641799296,0.08,5,4
3D Periodic,3500,3,4,K-PBC,4,0,0.6960722504016907,0.8072707337018464,0.8072707337018467,0.7841944101027184,0.08,5,4
3D Periodic,3500,3,4,GPDBSCAN,4,17,0.9926381412098229,0.9849275525792411,0.9849275525792411,0.9945925641799296,0.08,5,4
