Dataset,Method,Runtime mean (s),Runtime std (s)
2D Double-Boundary,DBSCAN,0.01356219999999988,0.0009290297035077583
2D Double-Boundary,PBC-DBSCAN,0.06903935999999992,0.0011104282340608537
2D Double-Boundary,K-PBC,0.0016047200000000928,0.0004270811831492294
2D Double-Boundary,GPDBSCAN,0.06096893999999988,0.00193956860744847
2D Four-Boundary,DBSCAN,0.006353219999999915,0.0009010553074036492
2D Four-Boundary,PBC-DBSCAN,0.0402035200000002,0.0027340569072353
2D Four-Boundary,K-PBC,0.0039432999999998945,0.001088775075486075
2D Four-Boundary,GPDBSCAN,0.03172165999999965,0.001308616935164796
2D Non-convex,DBSCAN,0.07978407999999959,0.002299413684398269
2D Non-convex,PBC-DBSCAN,0.14643804000000013,0.014904576550945094
2D Non-convex,K-PBC,0.01359520000000014,0.0029158236717955004
2D Non-convex,GPDBSCAN,0.22070283999999987,0.018111491552961607
3D Periodic,DBSCAN,0.060552639999999866,0.003512889289175278
3D Periodic,PBC-DBSCAN,0.3212925000000002,0.005724074068790418
3D Periodic,K-PBC,0.04367066000000008,0.0007267384935452781
3D Periodic,GPDBSCAN,0.24582006000000015,0.006935365223115247
